+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.04796 ± 0.02398      |     0.07942 ± 0.02511     |
| Bin2   |  5.068 ± 1.308   |  5.068 ± 1.308   |      0.2278 ± 0.05227       |     0.9292 ± 0.08591      |
| Bin3   |  7.433 ± 1.585   |  7.433 ± 1.585   |      0.2638 ± 0.05624       |      1.573 ± 0.1118       |
| Bin4   |   7.77 ± 1.62    |   7.77 ± 1.62    |      0.3477 ± 0.06457       |      2.168 ± 0.1312       |
| Bin5   |   12.5 ± 2.055   |   12.5 ± 2.055   |      0.1679 ± 0.04487       |      2.081 ± 0.1286       |
| Bin6   |  6.419 ± 1.473   |  6.419 ± 1.473   |      0.1559 ± 0.04323       |      1.604 ± 0.1129       |
| Bin7   |  14.19 ± 2.189   |  14.19 ± 2.189   |      0.2278 ± 0.05227       |      1.461 ± 0.1077       |
| Bin8   |   13.18 ± 2.11   |   13.18 ± 2.11   |      0.2638 ± 0.05624       |      1.144 ± 0.0953       |
| Bin9   |  6.757 ± 1.511   |  6.757 ± 1.511   |      0.07195 ± 0.02937      |     0.5321 ± 0.06501      |
| Bin10  |  7.433 ± 1.585   |  7.433 ± 1.585   |      0.09593 ± 0.03392      |     0.4289 ± 0.05836      |
| Bin11  |  7.095 ± 1.548   |  7.095 ± 1.548   |      0.03597 ± 0.02077      |     0.1827 ± 0.03809      |
| Bin12  |  5.405 ± 1.351   |  5.405 ± 1.351   |            0 ± 0            |     0.0953 ± 0.02751      |
| Bin13  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |      0.01199 ± 0.01199      |     0.04765 ± 0.01945     |
| Bin14  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.01199 ± 0.01199      |     0.01588 ± 0.01123     |
| Bin15  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |            0 ± 0            |     0.02383 ± 0.01376     |
| Bin16  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.01199 ± 0.01199      |     0.01588 ± 0.01123     |
| Bin17  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |            0 ± 0            |     0.03177 ± 0.01588     |
| Bin18  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.01199 ± 0.01199      |     0.03971 ± 0.01776     |
| Bin19  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |      0.01199 ± 0.01199      |     0.1588 ± 0.03552      |
| Bin20  |  8.108 ± 1.655   |  8.108 ± 1.655   |      0.01199 ± 0.01199      |     0.1747 ± 0.03725      |
| Bin21  |  6.757 ± 1.511   |  6.757 ± 1.511   |      0.04796 ± 0.02398      |     0.4606 ± 0.06048      |
| Bin22  |  6.081 ± 1.433   |  6.081 ± 1.433   |      0.1079 ± 0.03597       |     0.6592 ± 0.07235      |
| Bin23  |  10.81 ± 1.911   |  10.81 ± 1.911   |      0.1799 ± 0.04644       |       0.953 ± 0.087       |
| Bin24  |  13.51 ± 2.137   |  13.51 ± 2.137   |      0.2158 ± 0.05087       |      1.708 ± 0.1165       |
| Bin25  |  6.757 ± 1.511   |  6.757 ± 1.511   |      0.2998 ± 0.05996       |      1.922 ± 0.1235       |
| Bin26  |  6.757 ± 1.585   |  6.757 ± 1.585   |      0.2638 ± 0.05624       |      2.216 ± 0.1327       |
| Bin27  |  5.405 ± 1.351   |  5.405 ± 1.351   |      0.3238 ± 0.06231       |      2.279 ± 0.1345       |
| Bin28  |  6.081 ± 1.433   |  6.081 ± 1.433   |      0.3238 ± 0.06231       |       1.58 ± 0.112        |
| Bin29  |   3.716 ± 1.12   |   3.716 ± 1.12   |      0.1679 ± 0.04487       |      1.16 ± 0.09596       |
| Bin30  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |            0 ± 0            |      0.143 ± 0.03369      |
| Bin31  |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
+--------+------------------+------------------+-----------------------------+---------------------------+
