+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin2   |  53.72 ± 4.287   |  53.72 ± 4.287   |      0.7075 ± 0.09211       |      1.954 ± 0.1246       |
| Bin3   |  67.23 ± 4.766   |  67.23 ± 4.766   |       0.9473 ± 0.1066       |      3.431 ± 0.1651       |
| Bin4   |    25 ± 2.906    |    25 ± 2.906    |      0.5156 ± 0.07863       |      2.804 ± 0.1492       |
| Bin5   |  14.19 ± 2.189   |  14.19 ± 2.189   |      0.4437 ± 0.07294       |      2.446 ± 0.1394       |
| Bin6   |  9.122 ± 1.755   |  9.122 ± 1.755   |      0.2638 ± 0.05624       |      2.152 ± 0.1307       |
| Bin7   |  4.392 ± 1.218   |  4.392 ± 1.218   |      0.2758 ± 0.05751       |       1.89 ± 0.1225       |
| Bin8   |  2.027 ± 0.8275  |  2.027 ± 0.8275  |      0.2038 ± 0.04944       |      1.406 ± 0.1057       |
| Bin9   | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.08394 ± 0.03173      |      1.477 ± 0.1083       |
| Bin10  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.05996 ± 0.02681      |      1.191 ± 0.09727      |
| Bin11  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.1079 ± 0.03597       |     0.8895 ± 0.08405      |
| Bin12  |      0 ± 0       |      0 ± 0       |      0.04796 ± 0.02398      |     0.9213 ± 0.08554      |
| Bin13  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.03597 ± 0.02077      |     0.6274 ± 0.07059      |
| Bin14  |      0 ± 0       |      0 ± 0       |      0.03597 ± 0.02077      |     0.7068 ± 0.07492      |
| Bin15  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.6354 ± 0.07104      |
| Bin16  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.5242 ± 0.06452      |
| Bin17  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |      0.413 ± 0.05727      |
| Bin18  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.2621 ± 0.04562      |
| Bin19  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.3415 ± 0.05208      |
| Bin20  |      0 ± 0       |      0 ± 0       |            0 ± 0            |      0.278 ± 0.04699      |
| Bin21  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |     0.2224 ± 0.04202      |
| Bin22  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.2541 ± 0.04493      |
| Bin23  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.1191 ± 0.03076      |
| Bin24  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.1668 ± 0.03639      |
| Bin25  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |      0.143 ± 0.03369      |
| Bin26  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |     0.08736 ± 0.02634     |
| Bin27  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.08736 ± 0.02634     |
| Bin28  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.05559 ± 0.02101     |
| Bin29  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.03971 ± 0.01776     |
| Bin30  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |     0.02383 ± 0.01376     |
| Bin31  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.3177 ± 0.05023      |
+--------+------------------+------------------+-----------------------------+---------------------------+
