+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   |  1.689 ± 0.7554  |  1.689 ± 0.7554  |      0.7914 ± 0.09742       |      1.747 ± 0.1178       |
| Bin2   |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.8274 ± 0.09961       |      8.434 ± 0.2588       |
| Bin3   |  3.378 ± 1.068   |  3.378 ± 1.068   |      0.7674 ± 0.09593       |      6.512 ± 0.2274       |
| Bin4   |   4.054 ± 1.17   |   4.054 ± 1.17   |      0.4437 ± 0.07294       |      3.693 ± 0.1713       |
| Bin5   |   7.77 ± 1.62    |   7.77 ± 1.62    |      0.2398 ± 0.05363       |      2.136 ± 0.1303       |
| Bin6   |   10.14 ± 1.85   |   10.14 ± 1.85   |      0.1559 ± 0.04323       |      1.223 ± 0.09856      |
| Bin7   |   12.5 ± 2.055   |   12.5 ± 2.055   |      0.1319 ± 0.03977       |     0.6671 ± 0.07279      |
| Bin8   |  11.82 ± 1.999   |  11.82 ± 1.999   |      0.08394 ± 0.03173      |      0.4686 ± 0.061       |
| Bin9   |   10.14 ± 1.85   |   10.14 ± 1.85   |      0.07195 ± 0.02937      |     0.3336 ± 0.05147      |
| Bin10  |  10.47 ± 1.881   |  10.47 ± 1.881   |      0.01199 ± 0.01199      |     0.1827 ± 0.03809      |
| Bin11  |  8.446 ± 1.689   |  8.446 ± 1.689   |      0.03597 ± 0.02077      |     0.1112 ± 0.02972      |
| Bin12  |  14.87 ± 2.241   |  14.87 ± 2.241   |      0.03597 ± 0.02077      |     0.1032 ± 0.02864      |
| Bin13  |  8.446 ± 1.689   |  8.446 ± 1.689   |      0.07195 ± 0.02937      |     0.04765 ± 0.01945     |
| Bin14  |   9.46 ± 1.788   |   9.46 ± 1.788   |      0.01199 ± 0.01199      |     0.06354 ± 0.02246     |
| Bin15  |  10.47 ± 1.881   |  10.47 ± 1.881   |      0.02398 ± 0.01696      |     0.03177 ± 0.01588     |
| Bin16  |  11.82 ± 1.999   |  11.82 ± 1.999   |      0.04796 ± 0.02398      |     0.03177 ± 0.01588     |
| Bin17  |   9.46 ± 1.788   |   9.46 ± 1.788   |      0.02398 ± 0.01696      |     0.01588 ± 0.01123     |
| Bin18  |  8.784 ± 1.723   |  8.784 ± 1.723   |      0.03597 ± 0.02077      |     0.02383 ± 0.01376     |
| Bin19  |  7.433 ± 1.655   |  7.433 ± 1.655   |      0.02398 ± 0.01696      |    0.007942 ± 0.007942    |
| Bin20  |  6.081 ± 1.433   |  6.081 ± 1.433   |      0.01199 ± 0.01199      |     0.01588 ± 0.01123     |
| Bin21  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |            0 ± 0            |    0.007942 ± 0.007942    |
| Bin22  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |      0.02398 ± 0.01696      |           0 ± 0           |
| Bin23  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |      0.02398 ± 0.01696      |           0 ± 0           |
| Bin24  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |            0 ± 0            |    0.007942 ± 0.007942    |
| Bin25  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |            0 ± 0            |           0 ± 0           |
| Bin26  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.01199 ± 0.01199      |           0 ± 0           |
| Bin27  |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin28  |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin29  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |            0 ± 0            |           0 ± 0           |
| Bin30  |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin31  |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
+--------+------------------+------------------+-----------------------------+---------------------------+
