+--------+----------------+----------------+
| Bin#   |     VBSWZH     |     Total      |
|--------+----------------+----------------+
| Bin0   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin1   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin2   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin3   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin4   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin5   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin6   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin7   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin8   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin9   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin10  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin11  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin12  |  32.06 ± 8.89  |  32.06 ± 8.89  |
| Bin13  |  34.52 ± 9.23  |  34.52 ± 9.23  |
| Bin14  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin15  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin16  | 69.05 ± 13.05  | 69.05 ± 13.05  |
| Bin17  |  27.13 ± 8.18  |  27.13 ± 8.18  |
| Bin18  | 64.12 ± 12.57  | 64.12 ± 12.57  |
| Bin19  | 56.72 ± 11.83  | 56.72 ± 11.83  |
| Bin20  |  36.99 ± 9.55  |  36.99 ± 9.55  |
| Bin21  | 59.18 ± 12.08  | 59.18 ± 12.08  |
| Bin22  | 41.92 ± 10.17  | 41.92 ± 10.17  |
| Bin23  |  51.79 ± 11.3  |  51.79 ± 11.3  |
| Bin24  | 56.72 ± 11.83  | 56.72 ± 11.83  |
| Bin25  | 49.32 ± 11.03  | 49.32 ± 11.03  |
| Bin26  | 49.32 ± 11.03  | 49.32 ± 11.03  |
| Bin27  | 41.92 ± 10.17  | 41.92 ± 10.17  |
| Bin28  | 41.92 ± 10.17  | 41.92 ± 10.17  |
| Bin29  |  34.52 ± 9.23  |  34.52 ± 9.23  |
| Bin30  | 64.12 ± 12.57  | 64.12 ± 12.57  |
| Bin31  |  51.79 ± 11.3  |  51.79 ± 11.3  |
| Bin32  | 73.98 ± 13.51  | 73.98 ± 13.51  |
| Bin33  | 54.25 ± 11.57  | 54.25 ± 11.57  |
| Bin34  | 54.25 ± 11.57  | 54.25 ± 11.57  |
| Bin35  | 64.12 ± 12.57  | 64.12 ± 12.57  |
| Bin36  |  39.46 ± 9.86  |  39.46 ± 9.86  |
| Bin37  | 64.12 ± 12.57  | 64.12 ± 12.57  |
| Bin38  | 56.72 ± 11.83  | 56.72 ± 11.83  |
| Bin39  | 76.45 ± 13.73  | 76.45 ± 13.73  |
| Bin40  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin41  | 44.39 ± 10.46  | 44.39 ± 10.46  |
| Bin42  | 78.91 ± 13.95  | 78.91 ± 13.95  |
| Bin43  | 44.39 ± 10.46  | 44.39 ± 10.46  |
| Bin44  | 59.18 ± 12.08  | 59.18 ± 12.08  |
| Bin45  | 71.51 ± 13.28  | 71.51 ± 13.28  |
| Bin46  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin47  | 49.32 ± 11.03  | 49.32 ± 11.03  |
| Bin48  | 49.32 ± 11.03  | 49.32 ± 11.03  |
| Bin49  |  19.73 ± 6.97  |  19.73 ± 6.97  |
| Bin50  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin51  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin52  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin53  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin54  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin55  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin56  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin57  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin58  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin59  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin60  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin61  |   0.0 ± 0.0    |   0.0 ± 0.0    |
+--------+----------------+----------------+
